AreaName,Age_Groups,Population,Gender
Melbourne - Inner,0-4 years,12355,Male
Melbourne - Inner,05-14 years,21580,Male
Melbourne - Inner,15-19 years,11202,Male
Melbourne - Inner,20-24 years,26641,Male
Melbourne - Inner,25-34 years,80322,Male
Melbourne - Inner,35-44 years,50981,Male
Melbourne - Inner,45-54 years,35375,Male
Melbourne - Inner,55-64 years,28011,Male
Melbourne - Inner,65-74 years,19248,Male
Melbourne - Inner,75-84 years,10415,Male
Melbourne - Inner,85 years and over,3804,Male
Melbourne - Inner,0-4 years,12015,Female
Melbourne - Inner,05-14 years,21006,Female
Melbourne - Inner,15-19 years,12229,Female
Melbourne - Inner,20-24 years,30675,Female
Melbourne - Inner,25-34 years,85196,Female
Melbourne - Inner,35-44 years,50110,Female
Melbourne - Inner,45-54 years,36623,Female
Melbourne - Inner,55-64 years,29097,Female
Melbourne - Inner,65-74 years,21595,Female
Melbourne - Inner,75-84 years,12443,Female
Melbourne - Inner,85 years and over,6077,Female
Melbourne - Inner East,0-4 years,8044,Male
Melbourne - Inner East,05-14 years,22054,Male
Melbourne - Inner East,15-19 years,12109,Male
Melbourne - Inner East,20-24 years,14010,Male
Melbourne - Inner East,25-34 years,24376,Male
Melbourne - Inner East,35-44 years,22670,Male
Melbourne - Inner East,45-54 years,23630,Male
Melbourne - Inner East,55-64 years,21188,Male
Melbourne - Inner East,65-74 years,16112,Male
Melbourne - Inner East,75-84 years,10853,Male
Melbourne - Inner East,85 years and over,4758,Male
Melbourne - Inner East,0-4 years,7705,Female
Melbourne - Inner East,05-14 years,21028,Female
Melbourne - Inner East,15-19 years,11605,Female
Melbourne - Inner East,20-24 years,13055,Female
Melbourne - Inner East,25-34 years,24394,Female
Melbourne - Inner East,35-44 years,25194,Female
Melbourne - Inner East,45-54 years,26853,Female
Melbourne - Inner East,55-64 years,23503,Female
Melbourne - Inner East,65-74 years,19137,Female
Melbourne - Inner East,75-84 years,13688,Female
Melbourne - Inner East,85 years and over,7512,Female
Melbourne - Inner South,0-4 years,10811,Male
Melbourne - Inner South,05-14 years,26610,Male
Melbourne - Inner South,15-19 years,12769,Male
Melbourne - Inner South,20-24 years,12430,Male
Melbourne - Inner South,25-34 years,25576,Male
Melbourne - Inner South,35-44 years,27721,Male
Melbourne - Inner South,45-54 years,29467,Male
Melbourne - Inner South,55-64 years,24358,Male
Melbourne - Inner South,65-74 years,18507,Male
Melbourne - Inner South,75-84 years,10679,Male
Melbourne - Inner South,85 years and over,4420,Male
Melbourne - Inner South,0-4 years,10453,Female
Melbourne - Inner South,05-14 years,25271,Female
Melbourne - Inner South,15-19 years,12339,Female
Melbourne - Inner South,20-24 years,11979,Female
Melbourne - Inner South,25-34 years,26776,Female
Melbourne - Inner South,35-44 years,30426,Female
Melbourne - Inner South,45-54 years,32552,Female
Melbourne - Inner South,55-64 years,26501,Female
Melbourne - Inner South,65-74 years,21564,Female
Melbourne - Inner South,75-84 years,13521,Female
Melbourne - Inner South,85 years and over,7908,Female
Melbourne - North East,0-4 years,17800,Male
Melbourne - North East,05-14 years,35513,Male
Melbourne - North East,15-19 years,15777,Male
Melbourne - North East,20-24 years,17366,Male
Melbourne - North East,25-34 years,39505,Male
Melbourne - North East,35-44 years,40614,Male
Melbourne - North East,45-54 years,34656,Male
Melbourne - North East,55-64 years,28513,Male
Melbourne - North East,65-74 years,21396,Male
Melbourne - North East,75-84 years,11676,Male
Melbourne - North East,85 years and over,4066,Male
Melbourne - North East,0-4 years,16592,Female
Melbourne - North East,05-14 years,33583,Female
Melbourne - North East,15-19 years,14632,Female
